postal_code;municipality;rent;size
02400;Kirkkonummi;785;43
00540;Helsinki;1190;54
20500;Turku;819;64
33100;Tampere;720;54
33500;Tampere;700;52
00140;Helsinki;1430;65
40720;Jyväskylä;840;66.2
80160;Joensuu;650;47
00220;Helsinki;1430;65
02330;Espoo;1890;104
20500;Turku;817;64
65100;Vaasa;950;77.5
00100;Helsinki;1364;62
33500;Tampere;550;37
00250;Helsinki;1100;50
00400;Helsinki;880;40
90530;Oulu;520;34
02600;Espoo;950.69;43
00100;Helsinki;1033;47
13600;Hämeenlinna;500;32
02320;Espoo;1600;95
05800;Hyvinkää;490;31
00220;Helsinki;1384;63
02650;Espoo;965;44
15140;Lahti;480;30
33230;Tampere;780;60.5
00150;Helsinki;1426;65
00250;Helsinki;910;41.5
20810;Turku;450;27
00200;Helsinki;1895;86.5
04200;Kerava;935;54.5
00100;Helsinki;1390;63.5
90500;Oulu;430;25
00180;Helsinki;1300;59.5
00180;Helsinki;1289;59
00180;Helsinki;1289;59
00180;Helsinki;1278;58.5
15140;Lahti;950;78
90120;Oulu;400;22
33100;Tampere;900;73
11100;Riihimäki;640;46.5
80260;Joensuu;640;46.5
20100;Turku;429;25
33200;Tampere;2200;148.5
00500;Helsinki;1090;50
37800;Akaa;870;70
02650;Espoo;1219;61
00500;Helsinki;1220;56
00790;Helsinki;795;36.5
40100;Jyväskylä;830;66
20100;Turku;350;17
04300;Tuusula;1900;126.5
02600;Espoo;1065.5;51
33100;Tampere;890;51.5
33100;Tampere;890;51.5
70500;Kuopio;555;38
06400;Porvoo;1300;82
00570;Helsinki;969;44.5
00210;Helsinki;1535;70.5
04200;Kerava;923;54
04200;Kerava;923;54
15110;Lahti;750;58
65100;Vaasa;984;82
00380;Helsinki;1622;74.5
00560;Helsinki;2100;96.5
02600;Espoo;1494.79;79.5
90100;Oulu;1190;74
33500;Tampere;710;54
10900;Hanko;900;73.5
02770;Espoo;850;37
70200;Kuopio;700;53
02320;Espoo;1100;53.5
00500;Helsinki;1217;56
40100;Jyväskylä;894;52
40100;Jyväskylä;894;52
40100;Jyväskylä;894;52
00560;Helsinki;1650;76
10300;Raasepori;670;50
20100;Turku;475;30
00140;Helsinki;1150;53
02600;Espoo;826;35.5
05880;Hyvinkää;460;28.5
02600;Espoo;1022;48.5
20100;Turku;1350;120
33100;Tampere;620;45
02600;Espoo;817;35
00530;Helsinki;1193;55
00120;Helsinki;1950;90
00220;Helsinki;1430;66
00500;Helsinki;1060;49
00210;Helsinki;1524;70.5
00100;Helsinki;1750;81
00140;Helsinki;1620;75
00140;Helsinki;1490;69
87100;Kajaani;575;40.5
33250;Tampere;570;33.5
02600;Espoo;957.9;44.5
90100;Oulu;652;48.5
01620;Vantaa;920;42
33900;Tampere;695.6;53
33900;Tampere;695.6;53
33900;Tampere;695.6;53
00150;Helsinki;1500;69.5
90100;Oulu;550;38
33800;Tampere;642;47.5
00550;Helsinki;1500;69.5
00280;Helsinki;895;41.5
28100;Pori;695;53
28100;Pori;540;37
33900;Tampere;675.4;51
03400;Vihti;840;68
70500;Kuopio;530;36
02650;Espoo;1099;54
00140;Helsinki;1550;72
99660;Sodankylä;660;41.5
33210;Tampere;820;66
00300;Helsinki;1227;57
70200;Kuopio;1221;107.5
00530;Helsinki;1290;60
00220;Helsinki;870.75;40.5
93600;Kuusamo;500;33
33100;Tampere;471;30
20500;Turku;780;62
70420;Kuopio;300;10
90530;Oulu;683;52
33400;Tampere;1250;79.5
70600;Kuopio;680;51.7
00100;Helsinki;860;40
00540;Helsinki;1150;53.5
02230;Espoo;1095;54
90500;Oulu;470;30
90100;Oulu;730;57
40250;Jyväskylä;990;84
33330;Tampere;797;64
02600;Espoo;1086;53.5
00530;Helsinki;795;37
00530;Helsinki;1009;47
20810;Turku;650;48.75
00270;Helsinki;880;41
11100;Riihimäki;450;28
15140;Lahti;750;42
10410;Raasepori;950;80
02600;Espoo;1368.61;72.5
00350;Helsinki;680;31.7
00560;Helsinki;1780;83
00220;Helsinki;1800;84
00100;Helsinki;1500;70
15800;Lahti;507;34
05800;Hyvinkää;680;52
00150;Helsinki;900;42
